rank	word	pos	en
1	de	prep	of, from (material, origin, source); to (with a verb: de făcut)
2	nu	adv	no; not
3	să	conj	Subordinative conjunction: to
4	si	noun	si (musical note B)
5	o	article	a, an (feminine); her, it (object pronoun); will (in o să + verb)
6	în	prep	in, into, within
7	ce	pron	what
8	e	verb	is (everyday short form of este); eh! (surprise, annoyance)
9	că	conj	that; for, because
10	la	prep	at, in; to, towards
11	a	verb	he/she did (past auxiliary: a văzut); to (infinitive: a fi); of (a mea)
12	cu	prep	with; with (in the instrumental sense)
13	pe	prep	on; on (some time during the day of)
14	am	verb	I have; also the past-tense auxiliary: I have / we have (done something)
15	un	article	a, an (indefinite article)
16	mai	adv	"more, the comparative marker (mai mare ""bigger""); still, any more; again; May (m.)"
17	asta	pron	this, this one; that (f.; the everyday form, less formal than aceasta)
18	pentru	prep	"for (a person, a purpose, a length of time); because of; pentru că ""because"""
19	este	verb	is; he/she/it is; there is (shortened to e in speech)
20	sunt	verb	I am; they are (one form serves both)
21	ai	verb	you have; you have done, you did (ai văzut); of (possessive: ai mei)
22	te	pron	you; yourself
23	bine	adv	well; fine, all right, OK (as a reply); good, wellbeing (n.)
24	da	intj	yes; to give (a da)
25	ca	adv	than; as
26	dar	conj	but, however, yet; also a noun: gift, present (n.)
27	se	pron	oneself, himself, herself, itself, themselves
28	din	prep	on, on top of; from, out of
29	fost	verb	been (past participle of a fi: a fost “it was”, am fost “I have been”); former, ex- (fostul primar)
30	care	det	which
31	fi	verb	to be; to feel (to experience a certain condition)
32	mă	pron	me (accusative)
33	eu	pron	I (used for emphasis or contrast — Romanian usually drops the subject pronoun)
34	aici	adv	here; hither, to here
35	sa	det	"his, her, its (with a feminine noun: casa sa ""his/her house"")"
36	dacă	conj	if; whether
37	trebuie	verb	present indicative of trebui; it is necessary, must, need, have to
38	va	verb	will
39	cum	adv	how; as, like, the way that; since, seeing that
40	tu	pron	you (singular), thou
41	acum	adv	now; right now; at present.
42	el	pron	"he; it (of a masculine or neuter noun); him after prepositions: cu el ""with him"""
43	ar	verb	would
44	lui	pron	"his; to him, him; and before a man's name it marks possession: lui Ion ""Ion's"""
45	ceva	pron	something
46	când	adv	when
47	doar	adv	just, only, merely
48	tine	pron	"you (sg.), the stressed form used after prepositions: cu tine ""with you"""
49	ei	pron	they (used for an all-male or mixed-sex group)
50	ne	pron	"us; to us; ourselves, each other (ne vedem ""we see each other"")"
51	mine	pron	me
52	poate	verb	he/she/it can, is able to (a putea: nu poate veni “he can't come”); maybe, perhaps (as an adverb: poate da, poate nu)
53	pot	verb	I can; they can (a putea: nu pot “I can't”, pot să vin “I can come”); rarely a noun: the pot, the stakes in a card game (neuter)
54	voi	pron	you (group being addressed)
55	face	verb	to do, act; to make (construct, build, prepare, create, transform)
56	cred	verb	first-person singular present indicative of crede
57	îmi	pron	(to) me
